is_human	complexity
0	0.335
0	0.377
0	0.357
0	0.358
0	0.369
0	0.4
0	0.329
0	0.378
0	0.372
0	0.325
0	0.348
0	0.348
0	0.369
0	0.36
0	0.361
0	0.381
0	0.363
0	0.39
0	0.387
0	0.402
0	0.323
0	0.362
0	0.403
0	0.363
0	0.352
0	0.346
0	0.372
0	0.369
0	0.379
0	0.392
0	0.341
0	0.324
0	0.341
0	0.382
0	0.349
0	0.322
0	0.385
0	0.395
0	0.341
0	0.371
0	0.363
0	0.34
0	0.364
0	0.353
0	0.396
0	0.333
0	0.303
0	0.34
0	0.32
0	0.375
0	0.37
0	0.375
0	0.371
0	0.384
0	0.366
0	0.412
0	0.318
0	0.358
0	0.39
0	0.347
0	0.359
0	0.374
0	0.405
0	0.374
0	0.356
0	0.352
0	0.37
0	0.381
0	0.4
0	0.385
0	0.332
0	0.384
0	0.349
0	0.352
0	0.341
0	0.366
0	0.358
0	0.333
0	0.369
0	0.396
0	0.327
0	0.332
0	0.394
0	0.36
0	0.353
0	0.343
0	0.369
0	0.346
0	0.364
0	0.362
0	0.366
0	0.362
0	0.345
0	0.375
0	0.382
0	0.372
0	0.364
0	0.383
0	0.379
0	0.378
0	0.337
0	0.443
0	0.328
0	0.358
0	0.356
0	0.422
0	0.389
0	0.352
0	0.389
0	0.4
0	0.362
0	0.378
0	0.374
0	0.375
0	0.336
0	0.34
0	0.349
0	0.337
0	0.439
0	0.301
0	0.355
0	0.393
0	0.382
0	0.336
0	0.39
0	0.365
0	0.339
0	0.366
0	0.404
0	0.362
0	0.438
0	0.331
0	0.403
0	0.345
0	0.376
0	0.345
0	0.348
0	0.355
0	0.388
0	0.393
0	0.362
0	0.362
0	0.322
0	0.372
0	0.343
0	0.326
0	0.404
0	0.371
0	0.399
0	0.372
0	0.43
0	0.366
0	0.344
0	0.365
0	0.366
0	0.344
0	0.367
0	0.323
0	0.364
0	0.371
0	0.382
0	0.335
0	0.375
0	0.4
0	0.397
0	0.38
0	0.39
0	0.356
0	0.406
0	0.416
0	0.344
0	0.374
0	0.356
0	0.339
0	0.335
0	0.325
0	0.342
0	0.383
0	0.363
0	0.383
0	0.358
0	0.351
0	0.407
0	0.378
0	0.37
0	0.355
0	0.404
0	0.375
0	0.333
0	0.307
0	0.368
0	0.374
0	0.362
0	0.329
0	0.362
0	0.35
0	0.355
0	0.351
0	0.366
0	0.31
1	0.211
1	0.174
1	0.204
1	0.219
1	0.247
1	0.202
1	0.193
1	0.17
1	0.208
1	0.14
1	0.2
1	0.179
1	0.249
1	0.264
1	0.189
1	0.227
1	0.293
1	0.213
1	0.259
1	0.212
1	0.259
1	0.172
1	0.223
1	0.203
1	0.234
1	0.132
1	0.17
1	0.182
1	0.249
1	0.225
1	0.276
1	0.182
1	0.214
1	0.275
1	0.322
1	0.26
1	0.206
1	0.185
1	0.191
1	0.199
1	0.204
1	0.162
1	0.174
1	0.222
1	0.192
1	0.188
1	0.2
1	0.221
1	0.179
1	0.189
1	0.162
1	0.141
1	0.148
1	0.184
1	0.234
1	0.201
1	0.272
1	0.123
1	0.291
1	0.196
1	0.215
1	0.26
1	0.214
1	0.19
1	0.277
1	0.184
1	0.228
1	0.174
1	0.133
1	0.271
1	0.303
1	0.191
1	0.204
1	0.227
1	0.158
1	0.26
1	0.225
1	0.189
1	0.2
1	0.167
1	0.178
1	0.242
1	0.3
1	0.23
1	0.148
1	0.187
1	0.109
1	0.254
1	0.187
1	0.197
1	0.19
1	0.186
1	0.192
1	0.2
1	0.224
1	0.248
1	0.219
1	0.151
1	0.218
1	0.184
1	0.285
1	0.15
1	0.139
1	0.199
1	0.192
1	0.209
1	0.261
1	0.18
1	0.191
1	0.213
1	0.19
1	0.22
1	0.233
1	0.197
1	0.32
1	0.184
1	0.186
1	0.152
1	0.274
1	0.258
1	0.241
1	0.218
1	0.223
1	0.203
1	0.184
1	0.196
1	0.196
1	0.17
1	0.265
1	0.327
1	0.256
1	0.192
1	0.228
1	0.215
1	0.194
1	0.196
1	0.17
1	0.232
1	0.262
1	0.173
1	0.237
1	0.345
1	0.205
1	0.238
1	0.236
1	0.192
1	0.154
1	0.244
1	0.205
1	0.224
1	0.199
1	0.168
1	0.215
1	0.224
1	0.152
1	0.158
1	0.149
1	0.227
1	0.231
1	0.155
1	0.271
1	0.162
1	0.16
1	0.197
1	0.245
1	0.257
1	0.314
1	0.181
1	0.17
1	0.162
1	0.169
1	0.237
1	0.209
1	0.165
1	0.27
1	0.15
1	0.211
1	0.177
1	0.216
1	0.161
1	0.269
1	0.193
1	0.134
1	0.202
1	0.203
1	0.193
1	0.181
1	0.187
1	0.188
1	0.25
1	0.147
1	0.19
1	0.211
1	0.167
1	0.206
1	0.227
1	0.204
1	0.208
1	0.357
1	0.266
